Sexo	Nivel de formación alcanzado	Nacionalidad	Periodo	Total
Ambos sexos	Total	Extranjera: Total	2016T1	73,58
Ambos sexos	Total	Extranjera: Total	2015T4	73,24
Ambos sexos	Total	Extranjera: Total	2015T3	73,55
Ambos sexos	Total	Extranjera: Total	2015T2	74,10
Ambos sexos	Total	Extranjera: Total	2015T1	73,74
Ambos sexos	Total	Extranjera: Total	2014T4	73,89
Ambos sexos	Total	Extranjera: Total	2014T3	73,24
Ambos sexos	Total	Extranjera: Total	2014T2	74,10
Ambos sexos	Total	Extranjera: Total	2014T1	74,13
Ambos sexos	Total	Extranjera: Unión Europea	2022T3	70,88
Ambos sexos	Total	Extranjera: Unión Europea	2022T2	69,44
Ambos sexos	Total	Extranjera: Unión Europea	2022T1	70,79
Ambos sexos	Total	Extranjera: Unión Europea	2021T4	68,15
Ambos sexos	Total	Extranjera: Unión Europea	2021T3	69,54
Ambos sexos	Total	Extranjera: Unión Europea	2021T2	71,33
Ambos sexos	Total	Extranjera: Unión Europea	2021T1	70,89
Ambos sexos	Total	Extranjera: Unión Europea	2020T4	72,78
Ambos sexos	Total	Extranjera: Unión Europea	2020T3	72,16
Ambos sexos	Total	Extranjera: Unión Europea	2020T2	70,46
Ambos sexos	Total	Extranjera: Unión Europea	2020T1	73,19
Ambos sexos	Total	Extranjera: Unión Europea	2019T4	70,00
Ambos sexos	Total	Extranjera: Unión Europea	2019T3	69,44
Ambos sexos	Total	Extranjera: Unión Europea	2019T2	71,82
Ambos sexos	Total	Extranjera: Unión Europea	2019T1	70,40
Ambos sexos	Total	Extranjera: Unión Europea	2018T4	69,73
Ambos sexos	Total	Extranjera: Unión Europea	2018T3	69,54
Ambos sexos	Total	Extranjera: Unión Europea	2018T2	70,20
Ambos sexos	Total	Extranjera: Unión Europea	2018T1	69,82
Ambos sexos	Total	Extranjera: Unión Europea	2017T4	71,12
Ambos sexos	Total	Extranjera: Unión Europea	2017T3	70,39
Ambos sexos	Total	Extranjera: Unión Europea	2017T2	70,02
Ambos sexos	Total	Extranjera: Unión Europea	2017T1	69,87
Ambos sexos	Total	Extranjera: Unión Europea	2016T4	69,81
Ambos sexos	Total	Extranjera: Unión Europea	2016T3	69,41
Ambos sexos	Total	Extranjera: Unión Europea	2016T2	70,85
Ambos sexos	Total	Extranjera: Unión Europea	2016T1	70,09
Ambos sexos	Total	Extranjera: Unión Europea	2015T4	69,60
Ambos sexos	Total	Extranjera: Unión Europea	2015T3	69,87
Ambos sexos	Total	Extranjera: Unión Europea	2015T2	69,40
Ambos sexos	Total	Extranjera: Unión Europea	2015T1	69,90
Ambos sexos	Total	Extranjera: Unión Europea	2014T4	71,91
Ambos sexos	Total	Extranjera: Unión Europea	2014T3	70,43
Ambos sexos	Total	Extranjera: Unión Europea	2014T2	70,85
Ambos sexos	Total	Extranjera: Unión Europea	2014T1	70,84
Ambos sexos	Total	Extranjera: Resto de Europa	2022T3	50,22
Ambos sexos	Total	Extranjera: Resto de Europa	2022T2	52,34
Ambos sexos	Total	Extranjera: Resto de Europa	2022T1	49,13
Ambos sexos	Total	Extranjera: Resto de Europa	2021T4	49,02
Ambos sexos	Total	Extranjera: Resto de Europa	2021T3	52,87
Ambos sexos	Total	Extranjera: Resto de Europa	2021T2	51,36
Ambos sexos	Total	Extranjera: Resto de Europa	2021T1	48,71
Ambos sexos	Total	Extranjera: Resto de Europa	2020T4	53,79
Ambos sexos	Total	Extranjera: Resto de Europa	2020T3	55,25
Ambos sexos	Total	Extranjera: Resto de Europa	2020T2	55,30
Ambos sexos	Total	Extranjera: Resto de Europa	2020T1	55,65
Ambos sexos	Total	Extranjera: Resto de Europa	2019T4	73,76
Ambos sexos	Total	Extranjera: Resto de Europa	2019T3	69,16
Ambos sexos	Total	Extranjera: Resto de Europa	2019T2	69,81
Ambos sexos	Total	Extranjera: Resto de Europa	2019T1	69,30
Ambos sexos	Total	Extranjera: Resto de Europa	2018T4	71,55
Ambos sexos	Total	Extranjera: Resto de Europa	2018T3	68,79
Ambos sexos	Total	Extranjera: Resto de Europa	2018T2	71,97
Ambos sexos	Total	Extranjera: Resto de Europa	2018T1	72,93
Ambos sexos	Total	Extranjera: Resto de Europa	2017T4	73,51
Ambos sexos	Total	Extranjera: Resto de Europa	2017T3	74,66
Ambos sexos	Total	Extranjera: Resto de Europa	2017T2	73,98
Ambos sexos	Total	Extranjera: Resto de Europa	2017T1	75,59
Ambos sexos	Total	Extranjera: Resto de Europa	2016T4	74,63
Ambos sexos	Total	Extranjera: Resto de Europa	2016T3	69,96
Ambos sexos	Total	Extranjera: Resto de Europa	2016T2	70,14
Ambos sexos	Total	Extranjera: Resto de Europa	2016T1	71,98
Ambos sexos	Total	Extranjera: Resto de Europa	2015T4	74,88
Ambos sexos	Total	Extranjera: Resto de Europa	2015T3	73,93
Ambos sexos	Total	Extranjera: Resto de Europa	2015T2	76,61
Ambos sexos	Total	Extranjera: Resto de Europa	2015T1	75,31
Ambos sexos	Total	Extranjera: Resto de Europa	2014T4	71,61
Ambos sexos	Total	Extranjera: Resto de Europa	2014T3	68,37
Ambos sexos	Total	Extranjera: Resto de Europa	2014T2	66,30
Ambos sexos	Total	Extranjera: Resto de Europa	2014T1	68,71
Ambos sexos	Total	Extranjera: América Latina	2022T3	77,61
Ambos sexos	Total	Extranjera: América Latina	2022T2	77,17
Ambos sexos	Total	Extranjera: América Latina	2022T1	76,48
Ambos sexos	Total	Extranjera: América Latina	2021T4	76,84
Ambos sexos	Total	Extranjera: América Latina	2021T3	77,76
Ambos sexos	Total	Extranjera: América Latina	2021T2	77,12
Ambos sexos	Total	Extranjera: América Latina	2021T1	73,19
Ambos sexos	Total	Extranjera: América Latina	2020T4	75,67
Ambos sexos	Total	Extranjera: América Latina	2020T3	74,69
Ambos sexos	Total	Extranjera: América Latina	2020T2	68,20
Ambos sexos	Total	Extranjera: América Latina	2020T1	75,17
Ambos sexos	Total	Extranjera: América Latina	2019T4	76,48
Ambos sexos	Total	Extranjera: América Latina	2019T3	77,79
Ambos sexos	Total	Extranjera: América Latina	2019T2	78,18
Ambos sexos	Total	Extranjera: América Latina	2019T1	76,64
Ambos sexos	Total	Extranjera: América Latina	2018T4	77,92
Ambos sexos	Total	Extranjera: América Latina	2018T3	77,02
Ambos sexos	Total	Extranjera: América Latina	2018T2	77,88
Ambos sexos	Total	Extranjera: América Latina	2018T1	77,62
Ambos sexos	Total	Extranjera: América Latina	2017T4	79,20
Ambos sexos	Total	Extranjera: América Latina	2017T3	78,56
Ambos sexos	Total	Extranjera: América Latina	2017T2	77,17
Ambos sexos	Total	Extranjera: América Latina	2017T1	78,47
Ambos sexos	Total	Extranjera: América Latina	2016T4	77,41
Ambos sexos	Total	Extranjera: América Latina	2016T3	80,08
Ambos sexos	Total	Extranjera: América Latina	2016T2	80,69
Ambos sexos	Total	Extranjera: América Latina	2016T1	80,16
Ambos sexos	Total	Extranjera: América Latina	2015T4	80,05
Ambos sexos	Total	Extranjera: América Latina	2015T3	81,45
Ambos sexos	Total	Extranjera: América Latina	2015T2	81,73
Ambos sexos	Total	Extranjera: América Latina	2015T1	79,83
Ambos sexos	Total	Extranjera: América Latina	2014T4	79,38
Ambos sexos	Total	Extranjera: América Latina	2014T3	80,22
Ambos sexos	Total	Extranjera: América Latina	2014T2	81,16
Ambos sexos	Total	Extranjera: América Latina	2014T1	81,98
Ambos sexos	Total	Extranjera: Resto del mundo y apátrida	2022T3	63,24
Ambos sexos	Total	Extranjera: Resto del mundo y apátrida	2022T2	67,74
Ambos sexos	Total	Extranjera: Resto del mundo y apátrida	2022T1	67,14
Ambos sexos	Total	Extranjera: Resto del mundo y apátrida	2021T4	68,47
Ambos sexos	Total	Extranjera: Resto del mundo y apátrida	2021T3	67,57
Ambos sexos	Total	Extranjera: Resto del mundo y apátrida	2021T2	67,56
Ambos sexos	Total	Extranjera: Resto del mundo y apátrida	2021T1	66,28
Ambos sexos	Total	Extranjera: Resto del mundo y apátrida	2020T4	67,36
Ambos sexos	Total	Extranjera: Resto del mundo y apátrida	2020T3	67,00
Ambos sexos	Total	Extranjera: Resto del mundo y apátrida	2020T2	59,91
Ambos sexos	Total	Extranjera: Resto del mundo y apátrida	2020T1	65,79
Ambos sexos	Total	Extranjera: Resto del mundo y apátrida	2019T4	66,77
Ambos sexos	Total	Extranjera: Resto del mundo y apátrida	2019T3	66,30
Ambos sexos	Total	Extranjera: Resto del mundo y apátrida	2019T2	66,19
Ambos sexos	Total	Extranjera: Resto del mundo y apátrida	2019T1	66,73
Ambos sexos	Total	Extranjera: Resto del mundo y apátrida	2018T4	67,80
Ambos sexos	Total	Extranjera: Resto del mundo y apátrida	2018T3	67,44
Ambos sexos	Total	Extranjera: Resto del mundo y apátrida	2018T2	69,47
Ambos sexos	Total	Extranjera: Resto del mundo y apátrida	2018T1	68,39
Ambos sexos	Total	Extranjera: Resto del mundo y apátrida	2017T4	69,63
Ambos sexos	Total	Extranjera: Resto del mundo y apátrida	2017T3	68,96
Ambos sexos	Total	Extranjera: Resto del mundo y apátrida	2017T2	71,46
Ambos sexos	Total	Extranjera: Resto del mundo y apátrida	2017T1	69,77
Ambos sexos	Total	Extranjera: Resto del mundo y apátrida	2016T4	69,14
Ambos sexos	Total	Extranjera: Resto del mundo y apátrida	2016T3	69,26
Ambos sexos	Total	Extranjera: Resto del mundo y apátrida	2016T2	71,14
Ambos sexos	Total	Extranjera: Resto del mundo y apátrida	2016T1	72,38
Ambos sexos	Total	Extranjera: Resto del mundo y apátrida	2015T4	71,52
Ambos sexos	Total	Extranjera: Resto del mundo y apátrida	2015T3	71,38
Ambos sexos	Total	Extranjera: Resto del mundo y apátrida	2015T2	72,90
Ambos sexos	Total	Extranjera: Resto del mundo y apátrida	2015T1	72,81
Ambos sexos	Total	Extranjera: Resto del mundo y apátrida	2014T4	71,66
Ambos sexos	Total	Extranjera: Resto del mundo y apátrida	2014T3	70,62
Ambos sexos	Total	Extranjera: Resto del mundo y apátrida	2014T2	72,34
Ambos sexos	Total	Extranjera: Resto del mundo y apátrida	2014T1	70,48
Ambos sexos	Analfabetos	Total	2022T3	15,47
Ambos sexos	Analfabetos	Total	2022T2	16,79
Ambos sexos	Analfabetos	Total	2022T1	17,60
Ambos sexos	Analfabetos	Total	2021T4	15,75
Ambos sexos	Analfabetos	Total	2021T3	15,76
Ambos sexos	Analfabetos	Total	2021T2	12,84
Ambos sexos	Analfabetos	Total	2021T1	11,18
Ambos sexos	Analfabetos	Total	2020T4	13,03
Ambos sexos	Analfabetos	Total	2020T3	12,18
Ambos sexos	Analfabetos	Total	2020T2	11,07
Ambos sexos	Analfabetos	Total	2020T1	12,30
Ambos sexos	Analfabetos	Total	2019T4	10,65
Ambos sexos	Analfabetos	Total	2019T3	10,62
Ambos sexos	Analfabetos	Total	2019T2	10,75
Ambos sexos	Analfabetos	Total	2019T1	10,41
Ambos sexos	Analfabetos	Total	2018T4	10,84
Ambos sexos	Analfabetos	Total	2018T3	9,85
Ambos sexos	Analfabetos	Total	2018T2	9,63
Ambos sexos	Analfabetos	Total	2018T1	9,27
Ambos sexos	Analfabetos	Total	2017T4	10,14
Ambos sexos	Analfabetos	Total	2017T3	10,98
Ambos sexos	Analfabetos	Total	2017T2	10,69
Ambos sexos	Analfabetos	Total	2017T1	11,53
Ambos sexos	Analfabetos	Total	2016T4	10,71
Ambos sexos	Analfabetos	Total	2016T3	11,00
Ambos sexos	Analfabetos	Total	2016T2	11,09
Ambos sexos	Analfabetos	Total	2016T1	12,10
Ambos sexos	Analfabetos	Total	2015T4	11,79
Ambos sexos	Analfabetos	Total	2015T3	11,54
Ambos sexos	Analfabetos	Total	2015T2	12,54
Ambos sexos	Analfabetos	Total	2015T1	11,84
Ambos sexos	Analfabetos	Total	2014T4	11,59
Ambos sexos	Analfabetos	Total	2014T3	11,90
Ambos sexos	Analfabetos	Total	2014T2	12,31
Ambos sexos	Analfabetos	Total	2014T1	12,58
Ambos sexos	Analfabetos	Española	2022T3	3,89
Ambos sexos	Analfabetos	Española	2022T2	4,75
Ambos sexos	Analfabetos	Española	2022T1	5,22
Ambos sexos	Analfabetos	Española	2021T4	4,00
Ambos sexos	Analfabetos	Española	2021T3	3,96
Ambos sexos	Analfabetos	Española	2021T2	3,21
Ambos sexos	Analfabetos	Española	2021T1	3,24
Ambos sexos	Analfabetos	Española	2020T4	3,73
Ambos sexos	Analfabetos	Española	2020T3	3,09
Ambos sexos	Analfabetos	Española	2020T2	3,07
Ambos sexos	Analfabetos	Española	2020T1	3,80
Ambos sexos	Analfabetos	Española	2019T4	3,01
Ambos sexos	Analfabetos	Española	2019T3	2,80
Ambos sexos	Analfabetos	Española	2019T2	2,62
Ambos sexos	Analfabetos	Española	2019T1	3,37
Ambos sexos	Analfabetos	Española	2018T4	3,20
Ambos sexos	Analfabetos	Española	2018T3	3,33
Ambos sexos	Analfabetos	Española	2018T2	3,65
Ambos sexos	Analfabetos	Española	2018T1	3,67
Ambos sexos	Analfabetos	Española	2017T4	4,19
Ambos sexos	Analfabetos	Española	2017T3	4,73
Ambos sexos	Analfabetos	Española	2017T2	3,70
Ambos sexos	Analfabetos	Española	2017T1	3,83
Ambos sexos	Analfabetos	Española	2016T4	4,34
Ambos sexos	Analfabetos	Española	2016T3	4,15
Ambos sexos	Analfabetos	Española	2016T2	3,91
Ambos sexos	Analfabetos	Española	2016T1	3,90
Ambos sexos	Analfabetos	Española	2015T4	4,03
Ambos sexos	Analfabetos	Española	2015T3	3,79
Ambos sexos	Analfabetos	Española	2015T2	4,08
Ambos sexos	Analfabetos	Española	2015T1	4,26
Ambos sexos	Analfabetos	Española	2014T4	4,87
Ambos sexos	Analfabetos	Española	2014T3	5,13
Ambos sexos	Analfabetos	Española	2014T2	4,66
Ambos sexos	Analfabetos	Española	2014T1	5,25
Ambos sexos	Analfabetos	Doble nacionalidad	2022T3	27,55
Ambos sexos	Analfabetos	Doble nacionalidad	2022T2	38,01
Ambos sexos	Analfabetos	Doble nacionalidad	2022T1	37,68
Ambos sexos	Analfabetos	Doble nacionalidad	2021T4	48,46
Ambos sexos	Analfabetos	Doble nacionalidad	2021T3	23,89
Ambos sexos	Analfabetos	Doble nacionalidad	2021T2	15,78
Ambos sexos	Analfabetos	Doble nacionalidad	2021T1	33,49
Ambos sexos	Analfabetos	Doble nacionalidad	2020T4	55,50
Ambos sexos	Analfabetos	Doble nacionalidad	2020T3	33,52
Ambos sexos	Analfabetos	Doble nacionalidad	2020T2	30,03
Ambos sexos	Analfabetos	Doble nacionalidad	2020T1	23,39
Ambos sexos	Analfabetos	Doble nacionalidad	2019T4	36,63
Ambos sexos	Analfabetos	Doble nacionalidad	2019T3	34,32
Ambos sexos	Analfabetos	Doble nacionalidad	2019T2	37,18
Ambos sexos	Analfabetos	Doble nacionalidad	2019T1	42,49
Ambos sexos	Analfabetos	Doble nacionalidad	2018T4	44,33
Ambos sexos	Analfabetos	Doble nacionalidad	2018T3	32,06
Ambos sexos	Analfabetos	Doble nacionalidad	2018T2	41,48
Ambos sexos	Analfabetos	Doble nacionalidad	2018T1	35,26
Ambos sexos	Analfabetos	Doble nacionalidad	2017T4	29,78
Ambos sexos	Analfabetos	Doble nacionalidad	2017T3	5,34
Ambos sexos	Analfabetos	Doble nacionalidad	2017T2	5,83
Ambos sexos	Analfabetos	Doble nacionalidad	2017T1	33,38
Ambos sexos	Analfabetos	Doble nacionalidad	2016T4	52,14
Ambos sexos	Analfabetos	Doble nacionalidad	2016T3	58,16
Ambos sexos	Analfabetos	Doble nacionalidad	2016T2	48,95
Ambos sexos	Analfabetos	Doble nacionalidad	2016T1	48,47
Ambos sexos	Analfabetos	Doble nacionalidad	2015T4	43,95
Ambos sexos	Analfabetos	Doble nacionalidad	2015T3	53,59
Ambos sexos	Analfabetos	Doble nacionalidad	2015T2	47,71
Ambos sexos	Analfabetos	Doble nacionalidad	2015T1	34,39
Ambos sexos	Analfabetos	Doble nacionalidad	2014T4	33,27
Ambos sexos	Analfabetos	Doble nacionalidad	2014T3	62,78
Ambos sexos	Analfabetos	Doble nacionalidad	2014T2	45,48
Ambos sexos	Analfabetos	Doble nacionalidad	2014T1	42,04
Ambos sexos	Analfabetos	Extranjera: Total	2022T3	44,47
Ambos sexos	Analfabetos	Extranjera: Total	2022T2	50,95
Ambos sexos	Analfabetos	Extranjera: Total	2022T1	53,56
Ambos sexos	Analfabetos	Extranjera: Total	2021T4	51,52
Ambos sexos	Analfabetos	Extranjera: Total	2021T3	54,48
Ambos sexos	Analfabetos	Extranjera: Total	2021T2	50,21
Ambos sexos	Analfabetos	Extranjera: Total	2021T1	50,99
Ambos sexos	Analfabetos	Extranjera: Total	2020T4	49,78
Ambos sexos	Analfabetos	Extranjera: Total	2020T3	53,48
Ambos sexos	Analfabetos	Extranjera: Total	2020T2	43,83
Ambos sexos	Analfabetos	Extranjera: Total	2020T1	50,94
Ambos sexos	Analfabetos	Extranjera: Total	2019T4	47,14
Ambos sexos	Analfabetos	Extranjera: Total	2019T3	46,87
Ambos sexos	Analfabetos	Extranjera: Total	2019T2	46,31
Ambos sexos	Analfabetos	Extranjera: Total	2019T1	44,50
Ambos sexos	Analfabetos	Extranjera: Total	2018T4	48,41
Ambos sexos	Analfabetos	Extranjera: Total	2018T3	43,49
Ambos sexos	Analfabetos	Extranjera: Total	2018T2	43,06
Ambos sexos	Analfabetos	Extranjera: Total	2018T1	42,29
Ambos sexos	Analfabetos	Extranjera: Total	2017T4	46,60
Ambos sexos	Analfabetos	Extranjera: Total	2017T3	51,36
Ambos sexos	Analfabetos	Extranjera: Total	2017T2	50,99
Ambos sexos	Analfabetos	Extranjera: Total	2017T1	55,09
Ambos sexos	Analfabetos	Extranjera: Total	2016T4	50,54
Ambos sexos	Analfabetos	Extranjera: Total	2016T3	52,21
Ambos sexos	Analfabetos	Extranjera: Total	2016T2	51,19
Ambos sexos	Analfabetos	Extranjera: Total	2016T1	57,32
Ambos sexos	Analfabetos	Extranjera: Total	2015T4	57,20
Ambos sexos	Analfabetos	Extranjera: Total	2015T3	54,36
Ambos sexos	Analfabetos	Extranjera: Total	2015T2	55,30
Ambos sexos	Analfabetos	Extranjera: Total	2015T1	59,29
Ambos sexos	Analfabetos	Extranjera: Total	2014T4	54,17
Ambos sexos	Analfabetos	Extranjera: Total	2014T3	52,77
Ambos sexos	Analfabetos	Extranjera: Total	2014T2	55,32
Ambos sexos	Analfabetos	Extranjera: Total	2014T1	56,87
Ambos sexos	Analfabetos	Extranjera: Unión Europea	2022T3	9,31
Ambos sexos	Analfabetos	Extranjera: Unión Europea	2022T2	31,12
Ambos sexos	Analfabetos	Extranjera: Unión Europea	2022T1	46,27
Ambos sexos	Analfabetos	Extranjera: Unión Europea	2021T4	44,49
Ambos sexos	Analfabetos	Extranjera: Unión Europea	2021T3	48,55
Ambos sexos	Analfabetos	Extranjera: Unión Europea	2021T2	31,50
Ambos sexos	Analfabetos	Extranjera: Unión Europea	2021T1	31,12
Ambos sexos	Analfabetos	Extranjera: Unión Europea	2020T4	32,50
Ambos sexos	Analfabetos	Extranjera: Unión Europea	2020T3	21,74
Ambos sexos	Analfabetos	Extranjera: Unión Europea	2020T2	38,83
Ambos sexos	Analfabetos	Extranjera: Unión Europea	2020T1	51,30
Ambos sexos	Analfabetos	Extranjera: Unión Europea	2019T4	28,23
Ambos sexos	Analfabetos	Extranjera: Unión Europea	2019T3	22,77
Ambos sexos	Analfabetos	Extranjera: Unión Europea	2019T2	54,15
Ambos sexos	Analfabetos	Extranjera: Unión Europea	2019T1	67,69
Ambos sexos	Analfabetos	Extranjera: Unión Europea	2018T4	57,11
Ambos sexos	Analfabetos	Extranjera: Unión Europea	2018T3	41,44
Ambos sexos	Analfabetos	Extranjera: Unión Europea	2018T2	29,76
Ambos sexos	Analfabetos	Extranjera: Unión Europea	2018T1	33,21
Ambos sexos	Analfabetos	Extranjera: Unión Europea	2017T4	33,34
Ambos sexos	Analfabetos	Extranjera: Unión Europea	2017T3	39,52
Ambos sexos	Analfabetos	Extranjera: Unión Europea	2017T2	42,44
Ambos sexos	Analfabetos	Extranjera: Unión Europea	2017T1	56,44
Ambos sexos	Analfabetos	Extranjera: Unión Europea	2016T4	25,96
Ambos sexos	Analfabetos	Extranjera: Unión Europea	2016T3	38,20
Ambos sexos	Analfabetos	Extranjera: Unión Europea	2016T2	12,64
Ambos sexos	Analfabetos	Extranjera: Unión Europea	2016T1	39,78
Ambos sexos	Analfabetos	Extranjera: Unión Europea	2015T4	55,13
Ambos sexos	Analfabetos	Extranjera: Unión Europea	2015T3	44,33
Ambos sexos	Analfabetos	Extranjera: Unión Europea	2015T2	47,11
Ambos sexos	Analfabetos	Extranjera: Unión Europea	2015T1	39,22
Ambos sexos	Analfabetos	Extranjera: Unión Europea	2014T4	30,63
Ambos sexos	Analfabetos	Extranjera: Unión Europea	2014T3	31,83
